시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명,
진주시립 이성자미술관,공립,경상남도 진주시 에나로 128번길 14,경상남도 진주시 충무공동 291,35.176177,128.142911,055-749-3661,경상남도 진주시청,http://www.jinju.go.kr/rheesjmuseum/,,09:00,18:00,09:00,18:00,매주월요일,2000,1000,500,"장애인,국가유공자등 면제",이성자화백 작품의 기증으로 개관한 미술관,"버스 : 296,300,301",055-749-3661,경상남도 진주시청,2018-02-13,5310000,경상남도 진주시,
국립진주박물관,국립,경상남도 진주시 남강로 626-35,경상남도 진주시 남성동 169-17,35.264325,128.169400,055-742-5951,국립중앙박물관,http://jinju.museum.go.kr,뮤지엄 샵,09:00,18:00,09:00,17:00,"매주월요일, 매년1월1일",2000,1000,600,"진주시민은 무료,7세미만 어린이,65세이상 어른,장애인복지카드,국가유공자증 소지자는 무료","국립진주박물관은 1984년 11월2일 개관하였으며 우리나라 전통목조탑을 석조건물로 형상화한 것으로 건축가 故김수근 선생의 대표적 작품이다.개관당시 가야문화를 소개하고 경남 서부 지역의 고고학적 연구조사를 담당하는 기관이었으나, 1998년 1월 임진왜란 최대의 격전지인 진주성에 위치하고 있음을 강점으로 삼아 임진왜란사를 주제로 하는 역사박물관으로 전환하였다.2001년 11월19일, 경남 사천 출신의 재일교표 故 두암 김용두(1922~2003)선생의 기증문화재를 전시하기 위하여 두암관을 개관하였으며, 2008년 12월 역사문화실을 신설하여 경남 지역의 역사와 전통문화를 소개하고 있다. 이외에 기획전시실, 3D입체영상관, 감각체험실, 정보자료실, 강당과 관람객 식당 등이 운영되고 있다. 또한, 관람객의 문화욕구 충족을 위한 다채로운 교육프로그램과 문화행사를 연중 개최하며, 지역문화를 선도하는 문화중추기관으로서의 역할을 다하고 있다.","시외버스터미널에서 도보로 10분(진주성 방향 직진),고속버스터미널 건너편에서 시내버스(250, 262, 284) 18~19분 소요, 이마트 정류장에서 하차 후 도보로 약 5분",055-742-5951,국립중앙박물과,2018-02-13,5310000,경상남도 진주시,
경상대학교 부속박물관,대학,경상남도 진주시 진주대로 501,경상남도 진주시 가좌동 900,35.154983,128.102217,055-772-0601,경상대학교,http://museum.gnu.ac.kr/main/,,09:00,17:00,00:00,00:00,"토요일,일요일,공휴일,개년기념일(10월20), 학교에서 정하는 휴관일",0,0,0,전체 무료,,,055-772-0601,경상대학교,2018-02-13,5310000,경상남도 진주시,
진주 청동기문화박물관,공립,경상남도 진주시 대평면 호반로 1353,경상남도 진주시 대평면 대평리 706-5,35.155341,128.101981,055-749-5172,경상남도 진주시청,http://bronze.jinju.go.kr/,,09:00,18:00,09:00,18:00,"매주 월요일, 매년 1월1일, 설, 추석",0,0,0,"보호자를 동반한 6세 이하 어린이 및 65세 이상 어른, 각강의 법률에 의한 증명을 장애인,구구가유공자와 그 유가족, 독립유공자,참전유공자와 그 밖에 박물관 운영상 필요하다고 인정하는 자",,시내버스 144번,055-749-5172,경상남도 진주시청,2018-02-13,5310000,경상남도 진주시,
삼성 교통박물관,사립,경기도 용인시 처인구 포곡읍 에버랜드로 376번길 171,경기도 용인시 처인구 포곡읍 유운리 432,37.301156,127.217029,031-320-9900,삼성화재,http://www.stm.or.kr,,10:00,18:00,10:00,18:00,"매주 월요일, 설연휴,추석연휴",6000,5000,5000,3000,,,031-320-9900,삼성화재,2018-05-08,4050000,경기도 용인시,
한국등잔박물관,사립,경기도 용인시 처인구 모현면 능곡로56번길 8,경기도 용인시 처인구 모현면 능원리 258-9,37.336675,127.177097,031-334-0797,(재)한국등잔박물관,http://www.deungjan.or.kr,,10:00,18:00,10:00,18:00,"매주 월요일~화요일,설연휴,추석연휴",4000,2500,2500,2500,,,031-334-0797,(재)한국등잔박물관,2018-05-08,4050000,경기도 용인시,
명지대학교박물관,사립,경기도 용인시  처인구 명지로 116,경기도 용인시 처인구 남동 555,37.224031,127.186713,031-330-6074,명지대,http://mum.mju.ac.kr,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",0,0,0,0,,,031-330-6074,명지대,2018-05-08,4050000,경기도 용인시,
용인대학교박물관,사립,경기도 용인시  처인구 용인대학로 134,경기도 용인시 처인구 삼가동 470,37.226722,127.168284,031-8020-3001,용인대,http://www.yongin.ac.kr/,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",0,0,0,0,,,031-8020-3001,용인대,2018-05-08,4050000,경기도 용인시,
경희대학교혜정박물관,사립,경기도 용인시  기흥구 덕영대로 1732,경기도 용인시 기흥구 서천동 1,37.240848,127.081641,031-201-2014,경희대,http://oldmaps.khu.ac.kr,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",0,0,0,0,,,031-201-2014,경희대,2018-05-08,4050000,경기도 용인시,
단국대학교석주선기념박물관,사립,경기도 용인시  수지구 죽전로 152,경기도 용인시 수지구 죽전동 152,37.323105,127.127897,031-8005-2389,단국대,http://museum.dankook.ac.kr,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",0,0,0,0,,,031-8005-2389,단국대,2018-05-08,4050000,경기도 용인시,
경기도박물관,공립,경기도 용인시  기흥구 상갈로 6,경기도 용인시 기흥구 상갈동 85,37.268263,127.111962,031-288-5300,(재)경기문화재단,http://musenet.ggcf.kr/,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",4000,2000,0,3000,,,031-288-5300,(재)경기문화재단,2018-05-08,4050000,경기도 용인시,
경기도어린이박물관,공립,경기도 용인시  기흥구 상갈로 6,경기도 용인시 기흥구 상갈동 85,37.268263,127.111962,031-270-8636,(재)경기문화재단,http://gcm.ggcf.kr/,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",4000,4000,4000,2000,,,031-270-8636,(재)경기문화재단,2018-05-08,4050000,경기도 용인시,
한국민속촌박물관,사립,경기도 용인시  기흥구 민속촌로 90,경기도 용인시 기흥구 보라동 35,37.262171,127.119696,031-288-0000,한국민속촌,http://www.koreanfolk.co.kr,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",18000,15000,13000,13000,,,031-288-0000,한국민속촌,2018-05-08,4050000,경기도 용인시,
삶의이야기가있는집,사립,경기도 용인시  처인구 원삼면 내동로 50-13,경기도 용인시 처인구 원삼면 사암리 883-1,37.175593,127.295545,031-334-4115,삶의이야기가있는집,http://motherparkchung-soo.org/,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",0,0,0,0,,,031-334-4115,삶의이야기가있는집,2018-05-08,4050000,경기도 용인시,
호암미술관,사립,경기도 용인시  처인구 포곡읍 에버랜드로562번길 38,경기도 용인시 처인구 포곡읍 가실리 산12-8,37.294586,127.193861,031-320-1800,삼성재단,www.hoammuseum.org,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",4000,3000,3000,2000,,,031-320-1800,삼성재단,2018-05-08,4050000,경기도 용인시,
용인문화유적전시관,공립,경기도 용인시  기흥구 동백3로 79,경기도 용인시 기흥구 중동 862,37.273997,127.157071,031-324-4796,용인문화유적전시관,http://tour.yongin.go.kr,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",0,0,0,0,,,031-324-4796,용인문화유적전시관,2018-05-08,4050000,경기도 용인시,
예아리박물관,사립,경기도 용인시  백암면 원설로 270번길 25,경기도 용인시 처인구 백암면 근삼리 389-1,37.141902,127.363518,031-323-7277,예아리박물관,http://www.yearee.com,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",5000,4000,3000,3000,,,031-323-7277,예아리박물관,2018-05-08,4050000,경기도 용인시,
신영숙컬렉션박물관,사립,경기도 용인시  기흥구 흥덕4로 63,경기도 용인시 기흥구 영덕동 55-4,37.277819,127.090374,031-282-8845,신영숙컬렉션박물관,http://www.icamkorea.org,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",9000,5000,3500,0,,,031-282-8845,신영숙컬렉션박물관,2018-05-08,4050000,경기도 용인시,
설민민화박물관,사립,경기도 용인시  처인구 동부로 823,경기도 용인시 처인구 해곡동 154-1,37.189385,127.277021,031-336-1541,설민민화박물관,,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",0,0,0,0,,,031-336-1541,설민민화박물관,2018-05-08,4050000,경기도 용인시,
한국미술관,사립,경기도 용인시  기흥구 마북로 244-2,경기도 용인시 기흥구 마북동 73-1,37.309165,127.131941,031-284-6418,한국미술관,www.hartm.com,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",0,0,0,0,,,031-284-6418,한국미술관,2018-05-08,4050000,경기도 용인시,
이영미술관,사립,경기도 용인시  기흥구 흥덕4로 63,경기도 용인시 기흥구 영덕동 55-4,37.277819,127.090374,031-213-8223,이영미술관,www.icamkorea.org,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",9000,5000,3500,0,,,031-213-8223,이영미술관,2018-05-08,4050000,경기도 용인시,
마가미술관,사립,경기도 용인시  처인구 모현면 문형동림로101번길 37,경기도 용인시 처인구 모현면 동림리 263,37.331711,127.192921,031-334-0365,마가미술관,http://www.magamuseum.co.kr/,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",4000,3000,2500,2500,,,031-334-0365,마가미술관,2018-05-08,4050000,경기도 용인시,
백남준아트센터,공립,경기도 용인시 기흥구 상갈로 6,경기도 용인시 기흥구 상갈동 85,37.267944,127.108803,031-201-8500,(재)경기문화재단,http://www.njpartcenter.kr/,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",4000,2000,0,0,,,031-201-8500,(재)경기문화재단,2018-05-08,4050000,경기도 용인시,
안젤리미술관,사립,경기도 용인시  처인구 이원로 244,경기도 용인시 처인구 이동면 묵리 724-4,37.184602,127.231844,031-323-1968,안젤리미술관,http://www.angeliartmuseum.com/,,10:00,18:00,10:00,18:00,"매주 월요일,설연휴,추석연휴",5000,2000,0,2000,,,031-323-1968,안젤리미술관,2018-05-08,4050000,경기도 용인시,
청량산박물관,공립,경상북도 봉화군 명호면 광석길 39,경상북도 봉화군 명호면 1726-6,36.788172,128.893923,054-679-6672,청량산도립공원관리사무소,http://bonghwa.go.kr/open.content/mt/,전망대+휠체어+안내소,09:00,18:00,09:00,18:00,"매주 월요일(단, 국공일 제외)",0,0,0,0,"청량산박물관은 2004-06-11일 개관하여 청량산을 배경으로 한 문화유산과 자연환경, 지역 홍보자료를 한 곳에 모아 전시함으로써 봉화의 역사와 문화에 대한이해는 물론, 지역전통문화의 계승발전과 군민 정서함양의 계기를 마련하고 청량산을 찾는 사람들에게 유익한 탐방문화를 제공하여 자연체험의 산 교육장으로 활용함과 아울러 지역의 새로운 관광명소를 조성하고자 건립하였다","봉화출발 일 4회, 안동(67번)출발 일 5회",054-679-6672,경상북도 봉화군청,2018-02-23,5240000,경상북도 봉화군,
충재박물관,공립,경상북도 봉화군 봉화읍 충재길 60,경상북도 봉화군 봉화읍 유곡리 934,36.9053101,128.7423901,054-674-0963,(사)닭실문화유적보존회,http://darsil.alltheway.kr,주차장,10:00,16:00,10:00,16:00,"매주 월요일(단 설·추석 연휴, 법정공휴일 휴관)",0,0,0,,"2007년 개관한 충재박물관은 조선시대 유물 10,000여점과 484점의 보물을 소장한 박물관으로, 전통마을인 닭실마을(달실)에 위치하고 있다. 소장하고 있는 모든 유물은 이 마을의 종갓집 및 마을출신 자손들로부터 받은 것이다. 연간 20,000여 명의 관람객이 방문하고 있다. 주변문화재의 관리와 교육프로그램 등을 시행하면서 봉화지역의 박물관으로서의 역할을 다하고 있는 중이다.","버스: 봉화읍에서 춘양 및 재산방면 완행버스 이용, 택시 : 봉화버스정류장에서 약 6,000원 내외, 자가용 : 봉화버스정류장에서 7분 거리",054-679-6331,경상북도 봉화군청,2018-02-23,5240000,경상북도 봉화군,
울산박물관,공립,울산광역시 남구 두왕로 277,울산광역시 남구 신정동 1888,35.313923,129.183193,052-222-8501,울산박물관,http://museum.ulsan.go.kr/,물품보관소+자전거보관대+유모차+휠체어+뮤지엄?+식당,09:00,18:00,09:00,18:00,"1월 1일, 매주 월요일(단 월요일이 공휴일일 때에는 공휴일 다음의 첫 번째 평일)",0,0,0,유료전시 별도 책정,울산박물관은 2011년 6월 22일 개관하여 선사시대에서 현대에 이르기까지 울산의 역사를 아우르는 종합적인 도시역사박물관,"버스:205, 225, 405, 415, 453, 504, 507,527, 715, 744, 1705,  1703, 1713, 1104, 1401, 5004",052-229-3731,울산박물관,2018-08-14,6310000,울산광역시,
울산암각화박물관,공립,울산광역시 울주군 두동면 반구대안길 254,울산광역시 울주군 두동면 천전리 333-1,35.362893,129.101423,052-229-4797,울산암각화박물관,http://bangudae.ulsan.go.kr/,장애인화장실+야외공원+야외화장실+세미나실,09:00,18:00,09:00,18:00,"1월 1일, 매주 월요일(단 월요일이 공휴일일 때에는 공휴일 다음의 첫 번째 평일)",0,0,0,해당사항 없음,울산암각화박물관 울산 반구대암각화(국보 제285호)와 천전리각석(국보 제147호)을 소개하고 국내 암각화연구의 중추적인 역할을 담당하기 위하여 2008년 5월 30일에 개관.,버스304번(하루3대),052-222-8501,울산박물관,2018-08-14,6310000,울산광역시,
울산대곡박물관,공립,울산광역시 울주군 두동면 서하천전로 257,울산광역시 울주군 두동면 천전리 307,35.619116,129.169213,052-229-6638,울산대곡박물관,http://dgmuseum.ulsan.go.kr/,물품보관함+장애인화장실+음수대,09:00,18:00,09:00,18:00,"1월 1일, 매주 월요일(단 월요일이 공휴일일 때에는 공휴일 다음의 첫 번째 평일)",0,0,0,해당사항 없음,"울산대곡박물관은 대곡의 역사를 보여주는 고고전문박물관으로 2009년 6월 24일에 개관했다. 5차에 걸친 발굴조사로 출토된 다종다양한 유구와 각종 토기류, 철기류, 도자류, 기와류 등을 종합전시",버스:304번(하루3대),052-222-8501,울산박물관,2018-08-14,6310000,울산광역시,
동두천시 경기북부어린이박물관,공립,경기도 동두천시 평화로 2910번길 46,경기도 동두천시 상봉암동 162,37.944561,127.064454,031-860-2860,경기도 동두천시,http://childmus.ddc.go.kr,카페+뮤지엄샵+물품보관소+수유실+의무실,10:00,17:50,10:00,17:50,"매주 월요일 (단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관), 1월1일, 설날 및 추석 당일",4000,4000,4000,"단체 3000원, 동두천시민 2000원",어린이를 주체로 환경생태 그리고 인간의 삶이 지니는 유기적 관계와 조합을 이해하는 박물관,"1호선 소요산역 1번 출구, 도보 10분",031-860-2860,경기도 동두천시청,2018-08-01,3920000,경기도 동두천시,
자유수호평화박물관,공립,경기도 동두천시 평화로 2910번길 96-63,경기도 동두천시 상봉암동 162-10,37.942451,127.066069,031-860-3333,경기도 동두천시,http://www.ddc.go.kr/museum,휴게공간,09:00,18:00,09:00,18:00,"매주 월요일 (단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)",1000,500,400,단체 및 동두천시민 할인,잊혀져 가는 6.25전쟁에 대한 이해와 자유와 평화를 수호하기 위하여 희생하신 분들의 뜻을 기리고 유엔 참전국과의 우호 증진을 위해 건립된 박물관,"1호선 소요산역 1번 출구, 도보 15분",031-860-3333,경기도 동두천시청,2018-08-01,3920000,경기도 동두천시,
대구미술관,공립,대구광역시 수성구 미술관로 40(삼덕동),대구광역시 수성구 삼덕동 374,35.826880,128.674278,053-803-7900,대구미술관,http://artmuseum.daegu.go.kr,아트숍+ 까페+ 수유실+ 물품보관함+ 미술정보센터+ 수변휴게공간,10:00,19:00,10:00,19:00,매주 월요일 (단 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관),1000,700,700,국민기초생활수급자+ 다자녀(세자녀 이상+ 막내가 2001년 이후 출생일 경우)가정 구성원+ 100시간 이상 활동 자원봉사자+ 그린카드 소지(이용)자는 50 할인+ 경로(66세 이상)+ 영유아(7세이하)+ 국가유공자+ 장애인(1~3급은 동반1인 포함) 국빈+ 외교사절단 및 그 수행자+ 학술연구 및 공무수행을 위해 출입하는 자는 무료이며+ 할인 및 무료 대상자는 증빙서류를 지참해야함+ 전시관람료는 각 전시별로 변동될 수 있음,여유의 미학이 존재하는 문화공간인 대구미술관은 2011년 5월 26일 개관하였습니다. 총7개의 전시공간을 갖추고 규모와 시설 면에서 최고 수준을 자랑하며  개관 이후 가치 창출과 미래 비전을 제시하는 진정한 미술관으로서 자리매김하기 위해 힘찬 도약을 꾀하고 있습니다.,버스: 수성3 수성3-1+지하철:2호선 대공원역 5번출구(1~2시간 간격 셔틀버스 탑승),053-120-0000,대구광역시청,2018-08-09,6270000,대구광역시,
가일미술관,사립,경기도 가평군 청평면 북한강로 1549,경기도 가평군 청평면 삼회리 609-6,37.6600185,127.3793615,031-584-4722,가일미술관,www.gailart.org,"주차장(100대), 사진촬영허가",10:00,19:00,10:00,18:00,"매주 월요일, 설날, 추석",3000,2500,2500,"7세미만 어린이, 국가유공자 및 장애인 무료 20인이상 2000원","시각예술을 바탕으로 다양한 국내외 작가들의 기획전시와 함께 예술교육이 이루어지며, 매달 정기공연을 통해 지역사회의 문화공간역할을 담당하고 있다.",서종IC-청평방향으로 우회전 5분거리,031-584-4722,가일미술관,2018-08-14,4160000,경기도 가평군,
남송미술관,사립,경기도 가평군 북면 백둔로 322,경기도 가평군 북면 백둔리 198-9,37.9043998,127.4719645,031-581-0772,남송미술관,www.namsongart.com,"주차장(10대), 장애인시설(승강기)",10:00,18:00,10:00,18:00,"매주 월요일, 설날, 추석",3000,2000,2000,"4세미만 어린이, 국가유공자 및 장애인,경로우대증 소유자 무료 성인 20명 단체 2000원 학생 10명 단체 1000원","가평 전원의 아름다운 풍경과 현대 미술의 세계가 만나 다양한 문화와 예술을 감상할 수 있는 가평의 대표적인 문화 예술 전시 공간이다. 설립자 남궁원 작가의 풍부한 작품과 그간 수집해 왔던 미술품을 기반으로 가평지역의 미술문화 발전을 위해 다양한 예술품들을 전시하여 감상, 체험과 교육의 기회를 제공한다.","버스:33-1,33-8,33-4,50-1,50-3",031-581-0772,남송미술관,2018-08-14,4160000,경기도 가평군,
설미재미술관,사립,경기도 가평군 설악면 유명로 1454-38,경기도 가평군 설악면 신천리 721-15,37.6607799,127.4820605,031-585-6276,설미재미술관,www.artsm.kr,"주차장(20대), 사진촬영허가",10:00,17:00,10:00,17:00,매주 월요일,3000,2500,2500,"7세미만 어린이, 국가유공자 및 장애인, 매월 마지막 수요일 무료",비전 있는 젊은 작가를 육성하여 작가 공동체를 활성화 하고 아울러 전문적인 미술교육 체험 프로그램을 개발하여 지역 사회 학생들에게 창의적 미술교육을 실행,"버스:6-10,32-11,32-14",031-585-6276,설미재미술관,2018-08-14,4160000,경기도 가평군,
일지미술관,사립,경기도 가평군 조종면 운악청계로 140,경기도 가평군 조종면 현리 49-3,37.8327807,127.3452777,031-585-0180,일지미술관,없음,"주차장(20대), 사진촬영허가",09:00,19:00,10:00,18:00,무휴,0,0,0,0,대도시와 산간 농촌의 중간층인 가평의 예술적 특징과 이질적인 분위기의 주민구조를 문화로 해소하고자하는 전시,"버스:31-9,31-2",031-585-0180,일지미술관,2018-08-14,4160000,경기도 가평군,
남해유배문학관,공립,경상남도 남해군 남해읍 남해대로 2745,경상남도 남해군 남변리 555,34.831930,127.899138,055-860-8626,남해군청,http://tour.namhae.go.kr,"야외공원, 주차장, 화장실, 물품보관소",09:00,18:00,09:00,18:00,"매주 월요일(단 월요일이 공휴일인 경우 당일은 개관하고 그 다음날 휴관), 설날 및 추석 명절 당일",2000,1500,1000,"단체할인, 65세 이상 무료, 장애우 무료, 군민 무료",국내 최대 문학관으로 최초로 유배객과 문학에 관한 전시공간,남변사거리 로타리 앞,055-860-8626,남해군 문화관광과,2018-07-31,5430000,경상남도 남해군,
보물섬마늘나라,공립,경상남도 남해군 이동면 남해대로 2443,경상남도 남해군 이동면 다정리 906번지,34.817123,127.924634,055-860-3986,남해군 농업기술센터,없음,"제 1·2전시실, 영상정보실, 세미나실, 중앙정원, 마늘 명품관",09:00,18:00,09:00,18:00,"매주 월요일(단, 1월1일, 명절 당일/설, 추석 휴관)",0,0,0,,"보물섬 마늘나라 마늘에 관한 학술적인 연구 자료 수집·활용, 품질향상을 위한 실증시범과 체계적인 마늘연구를 통해 보물섬 남해마늘의 우수성 홍보","대중교통(군내 버스이용), 자가용 이용 가능",055-860-3943,남해군 농업기술센터,2018-07-31,5430000,경상남도 남해군,
덕포진교육박물관,사립,경기도 김포시 대곶면 덕포진로103번길 90,경기도 김포시 대곶면 신안리 224-4번지,37.6506247,126.5387635,031-989-8580,덕포진교육박물관,http://www.덕포진교육박물관.kr/,,09:00,18:00,09:00,18:00,-,2500,2000,1500,단체 20 할인,"덕포진전시관에는 중포와 소포의 실물을 보실 수 있으며, 덕포진 포대 전시상황 및 포대모형도 재현되어 있다. 그 밖에 조선전서나 손돌의 전설 전자북·우저서원·홀기등의 유물과 통일신라시대(단경호, 양이부소호), 조선시대(백자동자상, 백자표형병, 백자대접, 백자장군)의 유물들과 수안산성·동성산에서 출토된 기와·청동제말·석기·석총·니탄층 등이 전시되어 있으며, 덕포진 포대 발굴현황에 대한 영상실이 설치되어 있다.",48번 국도(김포/강화방면) → 누산사거리에서 352번 도로 → 대명항 방면으로 좌회전 → 대명항을 약 1Km정도 남겨두고 우측,031-980-2965,김포도시공사,2018-02-23,4090000,경기도 김포시,
보름산미술관,사립,경기도 김포시 고촌읍 수기로 100-78,경기도 김포시 신곡리 893-1,37.5961949,126.760857,031-985-0005,보름산미술관,http://www.boroomsan.com,카페,10:00,17:00,13:00,17:00,매주 월요일,0,0,0,무료,고촌 보름산 자락에 자리잡은 지역문화 공간,김포 고촌버스정류장 하차 후 도보 15분,031-985-0005,보름산미술관,2018-02-23,4090000,경기도 김포시,
CICA미술관,사립,경기도 김포시 양촌읍 삼도로 196-30,경기도 김포시 학운리 1556,37.6081905,126.5978384,031-988-6363,CICA미술관,http://cicamuseum.com,카페,10:30,17:00,10:30,17:00,"매주 월, 화요일",5000,5000,3000,김포시민 3000원,양촌읍 학운산단에 위치한 문화공간으로 실험적인 아티스트들의 연구 공간이자 누구나 쉽게 현대미술을 접하고 생활 전반에 응용할 수 있는 열린 공간,올림픽대로 ‘한강신도시 IC’에서 약 30분 거리,031-988-6363,CICA미술관,2018-02-23,4090000,경기도 김포시,
다도박물관,사립,경기도 김포시 월곶면 애기봉로275번길 187-51,경기도 김포시 개곡리 830-1,37.7377831,126.5744552,031-998-1000,다도박물관,http://tour.gimpo.go.kr/culture/content.do?menu_cd=101686,-,10:00,17:00,10:00,17:00,매주 월요일,5000,4000,3000,"할인가: 지역주민(김포관내) : 단체요금적용(신분증 또는 증빙서류지참) 장애인(1~6급) : 50(동반1인포함, 증빙서류 지참) 문화의 날(매월 마지막주 수요일) : 개인입장객 50 적용 군인 : 50( 증빙서류 지참) 무료: 36개월미만 : 무료 (부모 동반시적용, 단체는 적용제외) 국가유공자 :무료 (본인무료/증빙자료지참)","다도전시관, 연못, 정자, 보트, 투호, 야외결혼식장, 잔디광장, 박물관문화대학 운영, 다도예절 강습과 연꽃차 시음",자가이용 : 김포국제조각공원에서 애기봉으로 가는 길의 중간쯤 위치,031-998-1000,다도박물관,2018-02-23,4090000,경기도 김포시,
CICA미술관,사립,경기도 김포시 삼도로 196-30,경기도 김포시 양촌읍 학운리 1556번지,37.6081001,126.597738,031-988-6363,CICA미술관,http://www.cicamuseum.com,,10:00,18:00,10:00,18:00,월,5000,0,0,,,,031-980-2488,경기도 김포시청,2018-02-23,4090000,경기도 김포시,
보름산미술관,사립,경기도 김포시 수기로 100-78,경기도 김포시 고촌읍 신곡리 893-1번지,37.596163,126.760913,031-985-0005,보름산미술관,http://www.boroomsan.com/,,10:00,18:00,10:00,18:00,월,0,0,0,,,,031-980-2488,경기도 김포시청,2018-02-23,4090000,경기도 김포시,
외할머니의 부엌,사립,경기도 김포시 덕포진로 103번길 95-7,경기도 김포시 대곶면 신안리 222번지,37.649977,126.538958,031-984-1993,외할머니의 부엌,블로그  외할머니의 부엌,,10:00,18:00,10:00,18:00,월,2000,1000,1000,,,,031-980-2488,경기도 김포시청,2018-02-23,4090000,경기도 김포시,
김포다도박물관,사립,경기도 김포시 애기봉로 275번길 187-49,경기도 김포시 월곶면 개곡리 832번지,37.737557,126.574376,031-998-1000,김포다도박물관,cafe.daum.net/iyemyung,,10:00,18:00,10:00,18:00,월,5000,3000,3000,,,,031-980-2488,경기도 김포시청,2018-02-23,4090000,경기도 김포시,
덕포진교육박물관,사립,경기도 김포시 덕포진로 103번길 90,경기도 김포시 대곶면 신안리 232-1번지,37.650616,126.538711,031-989-8580,덕포진교육박물관,www.덕포진교육박물관.kr,,10:00,18:00,10:00,18:00,월,3000,2000,1500,,,,031-980-2488,경기도 김포시청,2018-02-23,4090000,경기도 김포시,
청주고인쇄박물관,공립,충청북도 청주시 흥덕구 직지대로 713,충청북도 청주시 흥덕구 운천동 866,36.383846,127.281754,043-201-4262,청주고인쇄박물관,jikjiworld.cheongju.go.kr,"기념품 판매점, 간이휴게소(3개)",09:00,18:00,09:00,18:00,"매주월요일, 1월1일, 설날, 추석",0,0,0,,"청주 고인쇄 박물관은 세계에서 가장 오래 된 금속 활자본 ''''직지''''를 인쇄한 청주 흥덕사의 옛 터에 있으며, 1992년 3월 17일에 개관한 고인쇄 전문 박물관","시내버스 831, 831-1",043-201-4262,청주고인쇄박물관,2018-08-16,5710000,충청북도 청주시,
청주시립미술관,공립,충청북도 청주시 서원구 충렬로18번길 50,,36.634679,127.476215,043-201-2650,청주시립미술관,www.cmoa.or.kr,"카페테리아,물품보관소",10:00,19:00,10:00,19:00,"매주 월요일 (단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)",1000,0,0,청주주민등록자는 50퍼센트 할인,,,043-201-2641,청주시립미술관,2018-08-16,5710000,충청북도 청주시,
여수민속전시관,공립,전라남도 여수시 율촌면 서부로 1442,전라남도 여수시 율촌면 가장리 830번지,34.846393,127.556089,061-683-2231,여수민속전시관,http://yfg.modoo.at,주차장+야외벤치,09:00,18:00,09:00,18:00,"1월1일, 매주 월요일",0,0,0,0,여수의 향토사와 전통문화를 한 눈에 볼 수 있는 여수민속전시관,버스 : 31,061-659-4753,전라남도 여수시청,2018-05-08,4810000,전라남도 여수시,
아쿠아플라넷여수,사립,전라남도 여수시 오동도로 61-11,전라남도 여수시 수정동 774-1,34.746408,127.748355,061-660-1111,한화호텔&리조트㈜,http://www.aquaplanet.co.kr,푸드코드+까페+기프트샵+수유실+주차장 등,10:00,19:00,10:00,19:00,연중무휴,23000,21000,19000,"36개월미만무료, 만65세이상 21,000원, 장애인 할인(동반1인까지), 여수시민 할인",세계의 바다를 담은 아쿠아플라넷 여수,버스 : 2,061-660-1111,한화호텔&리조트㈜,2018-05-08,4810000,전라남도 여수시,
