관리번호,공원명
45111-00087,양지공원
45111-00088,가절길공원
45111-00096,안행공원
45111-00124,서곡공원
45113-00002,팔복첨단산업3-1
45113-00007,금암공원
45113-00010,꾀꼬리공원
45113-00011,금암체련공원
45113-00013,소공공원
45113-00014,동신공원
45113-00019,금평공원
45113-00022,산정공원
45113-00023,하인교공원
45113-00025,호동골공원
45113-00026,석소공원
45113-00031,도란길공원
45113-00038,북일길공원
45113-00047,팔복공원
45113-00055,쇠똥구리공원
45113-00056,반딧불이공원
45113-00057,여울목공원
45113-00086,건산공원
41210-00065,과일나라
41210-00081,오 리
41210-00086,구름산자연공원
41210-00004,밤일제4소공원
41210-00021,동산
41210-00025,무지개
41210-00029,철산13단지
41210-00033,햇빛
41210-00037,무지개
41210-00078,한 내
41210-00039,평화
41210-00040,새싹
41210-00041,나래
41210-00042,꿈나무
41210-00043,무궁화
41210-00044,노봉애
41210-00045,푸른
41210-00046,서편
41210-00047,개나리
41210-00048,초록
41210-00049,병아리
41210-00050,백합
41210-00051,달맞이
41210-00052,새터
41210-00053,하평
41210-00054,물결
41210-00055,그루터기
41210-00056,금빛
41210-00057,둔벙
41210-00058,해오름
41210-00059,새싹
41210-00060,성화
41210-00061,선경
41210-00062,한솔
41210-00068,자경제2
41210-00069,너브대
41210-00070,현 충
41210-00071,왕재산
41210-00072,광덕산
41210-00073,광 덕
41210-00074,철망산
41210-00075,가 림
41210-00076,안터저수지
41210-00077,소 하
41210-00063,개운
41210-00038,소망
41210-00064,오리
41210-00066,꽃향기
41210-00079,영당말
41210-00080,덕 안
41210-00082,충현역사공원
41210-00083,기형도문화공원
41210-00084,일직수변공원
41210-00085,도덕산자연공원
41210-00067,자경제1
41210-00001,밤일제1소공원
41210-00002,밤일제2소공원
41210-00003,밤일제3소공원
41210-00005,밤일제5소공원
41210-00006,밤일제6소공원
41210-00007,밤일제7소공원
41210-00008,기찻길소공원
41210-00009,소하제1소공원
41210-00010,소하제2소공원
41210-00011,호봉제1소공원
41210-00012,파란마음
41210-00013,하얀마음
41210-00014,광이제1
41210-00015,광이제2(다솜)
41210-00016,꿈동산
41210-00017,무지개
41210-00018,너브대
41210-00019,둥지
41210-00020,우리
41210-00022,꿈동산
41210-00023,우리또래
41210-00024,신나는
41210-00026,희망찬
41210-00027,철산
41210-00028,연서
41210-00030,철산7단지
41210-00031,"철산10,11단지"
41210-00032,도덕파크
41210-00034,현대
41210-00035,가림
41210-00036,안현
27290-00001,학산
27290-00002,장기
27290-00003,능금
27290-00004,성당천체
27290-00005,백조해양
27290-00006,토끼와거북이
27290-00007,피터팬
27290-00008,원화
27290-00009,상록
27290-00010,달서
27290-00011,감삼삼각지
27290-00012,감삼(목련)
27290-00013,곤충
27290-00014,거인나라
27290-00015,대림
27290-00016,송현
27290-00017,대남전원
27290-00018,치영
27290-00019,송지
27290-00020,솔밭
27290-00021,장관공원
27290-00022,구암
27290-00023,궁전
27290-00024,희망
27290-00025,진천
27290-00026,장미
27290-00027,매화
27290-00028,봉숭아
27290-00029,월성
27290-00030,도원
27290-00031,본리
27290-00032,공룡
27290-00033,용산미로
27290-00034,춘추
27290-00035,월배
27290-00036,무궁화
27290-00037,진달래
27290-00038,해바라기
27290-00039,달배
27290-00040,민들레
27290-00041,감성테마
27290-00042,갈산
27290-00043,월명
27290-00044,송일
27290-00045,학산
27290-00046,감천리
27290-00047,강수골
27290-00048,옹달샘
27290-00049,효성
27290-00050,창공
27290-00051,연왕
27290-00052,미성
27290-00053,사랑
27290-00054,평화
27290-00055,애화
27290-00056,한마음
27290-00057,한마음
27290-00058,성산
27290-00059,용주
27290-00060,성지
27290-00061,보람
27290-00062,병풍바위
27290-00063,용산본
27290-00064,서촌
27290-00065,새동네
27290-00066,용하
27290-00067,목련
27290-00068,용강
27290-00069,꿈터
27290-00070,미소
27290-00071,이곡
27290-00072,늘푸른
27290-00073,배꽃
27290-00074,샛별
27290-00075,해님
27290-00076,사령봉
27290-00077,계골산
27290-00078,돌산
27290-00079,신당
27290-00080,오정
27290-00081,점터
27290-00082,갈뫼
27290-00083,청록
27290-00084,앞돌
27290-00085,와룡(위)
27290-00086,와룡(아래)
27290-00087,배실
27290-00088,태양
27290-00089,영광
27290-00090,보배
27290-00091,새싹
27290-00092,한빛
27290-00093,동심
27290-00094,송림
27290-00095,서광
27290-00096,당산
27290-00097,채정
27290-00098,비둘기
27290-00099,유림
27290-00100,장미
27290-00101,은행
27290-00102,월곡
27290-00103,월촌
27290-00104,월성
27290-00105,도원
27290-00106,가람
27290-00107,미리샘
27290-00108,사계절
27290-00109,강산
27290-00110,둥지
27290-00111,산새
27290-00112,한실들
27290-00113,별메
27290-00114,별모람
27290-00115,동백
27290-00116,나래
27290-00117,아람
27290-00118,도원
27290-00119,선원
27290-00120,불미골
27290-00121,이곡장미
27290-00122,이곡정자
27290-00123,이곡생수
27290-00124,강창
27290-00125,미리내
27290-00126,은하수
27290-00127,큰못
27290-00128,용산
27290-00129,용전
27290-00130,장산
27290-00131,샘골
27290-00132,용산근린
27290-00133,서산
27290-00134,대진
27290-00135,무지개
27290-00136,구마
27290-00137,파랑새
27290-00138,초록
27290-00139,길우
27290-00140,호림
27290-00141,상호림
27290-00142,과학단지
27290-00143,호림강나루
27290-00144,호림강변
27290-00145,장동
27290-00146,성당소
27290-00147,감삼소
27290-00148,원덕
27290-00149,월천
27290-00150,조암(상록)
27290-00151,마을마당
27290-00152,선돌
27290-00153,월배6
27290-00154,월배7
27290-00155,한샘
27290-00156,월배4
27290-00157,호산
27290-00158,수밭
27290-00159,수밭1
27290-00160,아래한실1
27290-00161,윗한실1
27290-00162,소공원
27290-00163,달서1
27290-00164,죽전
27290-00165,월배2어린이공원
27290-00166,월배2제2공원
27290-00167,송학1
27290-00168,배실(상)
27290-00169,대곡
27290-00170,대곡2어린이공원1
27290-00171,대곡2어린이공원2
27290-00172,대곡2소공원1
27290-00173,대곡2소공원3
27290-00174,대곡2소공원4
27290-00175,대곡2체육공원1
27290-00176,출판밸리소공원
27290-00177,출판밸리수변공원
27290-00178,도원소공원
27290-00179,대곡2근린1공원
27290-00180,월곡공원
27290-00181,부용공원
27290-00182,월광1수변공원
27290-00183,월광2수변공원
27290-00184,장기지구1공원
27290-00185,장기지구2공원
11215-10701,가중나무공원
11215-10702,한아름공원
11215-10703,해님공원
11215-10704,화양공원
11215-10902,군자공원
11215-10101,중곡공원
11215-10102,배나무터공원
11215-10103,해오름공원
11215-10105,긴고랑공원
11215-10302,목련공원
11215-10303,무궁화공원
11215-10304,장미공원
11215-10305,푸른동산공원
11215-10306,구둘공원
11215-10308,구의공원
11215-10401,온달공원
11215-10503,정말공원
11215-10504,자마장공원
11215-10505,장독골공원
11215-10506,언덕배기공원
11215-10507,금모래공원
11215-10508,동자공원
11215-10509,노유산공원
43730-00002,향수공원
11140-00001,정동공원
11140-00002,훈련원공원
11140-00003,응봉공원
11140-00004,무학봉공원
11140-00005,묵정공원
11140-00006,쌍림공원
11140-00007,황학공원
11140-00008,배재공원
11140-00009,청구공원
11140-00010,충현공원
11140-00011,다산공원
11140-00012,늘푸른공원
11140-00013,저동공원
11140-00014,꿈누리공원
11140-00015,동화공원
11140-00016,순화어린이공원
11140-00017,저동1공원
11140-00018,저동2공원
11140-00019,쌍림동공원
11140-00020,무교1공원
11140-00021,무교2공원
11140-00022,의주로공원
11140-00023,진달래공원
11140-00024,마루공원
11140-00025,만리2구역1공원
11140-00026,만리2구역2공원
11140-00027,다동공원
11140-00028,손기정공원
11140-00029,서소문공원
11140-00030,한빛미디어파크
11140-00031,순화문화공원
11140-00032,명동문화공원
26320-00062,백양근린공원
26320-00059,금곡근린공원
26320-00058,구포생태근린공원
26320-00056,덕천소공원
26320-00055,만덕소공원
26320-00049,함박공원
26320-00048,한빛공원
26320-00037,우신자연공원
26320-00030,숙등공원
26320-00026,상록공원
26320-00020,미래공원
26320-00018,동심공원
26320-00017,덕천공원
26320-00012,꿈마루공원
26320-00010,기비골공원
26320-00002,거북공원
28170-00001,수봉공원
28170-00002,석바위공원
28170-00003,미추홀공원
28170-00007,주인공원
28170-00008,용정공원
28170-00009,제2용정공원
28170-00038,수봉마을공원
28170-00043,재넘이공원
28170-00044,동화공원
28170-00045,주안공원
28170-00046,용남공원
28170-00047,다솔공원
28170-00048,두리공원
28170-00049,송내공원
28170-00050,사미공원
28170-00051,미니공원
28170-00052,나리공원
28170-00055,신비공원
28170-00056,노적공원
28170-00057,양토공원
28170-00058,학골공원
28170-00059,제운공원
28170-00060,묵동공원
28170-00061,학산공원
28170-00062,관청공원
28170-00063,소성공원
28170-00064,도천공원
28170-00065,삼호공원
28170-00066,지석공원
28170-00067,관선공원
28170-00068,산성공원
28170-00069,선비공원
28170-00070,새싹공원
28170-00071,보람공원
28170-00072,낙섬공원
28170-00073,햇님공원
28170-00074,스승공원
28170-00075,염창공원
28170-00076,모리포공원
28170-00077,한나루공원
28170-00078,매소홀어린이공원
28170-00079,숙골공원
28170-00081,학익공원
28170-00083,다솜어린이공원
28170-00084,도담어린이공원
47900-00001,서본공원
47900-00002,남산공원
43740-00001,추풍령공원
43740-00002,중앙공원
43740-00003,상용공원
43740-00004,교동공원
43740-00005,용산공원
43740-00006,남성공원
43740-00007,용두공원
43740-00008,구촌어린이집
43740-00009,남성어린이집
43740-00010,노근리평화공원
43740-00011,주곡산단
43740-00012,1호 근린공원
43740-00013,2호 소공원
43740-00014,3호 근린공원
43740-00015,4호 소공원
43740-00016,동정어린이집
47840-00001,초전공원
47840-00002,가천공원
47840-00011,백전공원
47840-00014,성밖숲공원
47840-00015,학산공원
47840-00023,세록공원
47840-00018,성산소공원
47840-00021,금산소공원
47840-00022,학산소공원
47840-00003,창천공원 1호
47840-00004,창천공원 2호
47840-00005,창천공원 3호
47840-00006,예산공원 2
47840-00007,경산공원
47840-00008,사곡공원
47840-00009,성산공원
47840-00010,사곡공원
47840-00012,예산공원 3
47840-00013,백전공원 2
47840-00017,성산어린이공원
47840-00019,용정공원
47840-00016,고분군사적공원
47840-00020,학산체육공원
41390-00003,희망공원
41390-00005,평안공원
41390-00008,군서공원
41390-00009,큰솔공원
41390-00011,함현공원
41390-00012,나래솔공원
41390-00014,산현공원
41390-00015,목감공원
41390-00016,하늬공원
41390-00018,웃터골공원
41390-00019,샛말공원
41390-00023,영모재공원
41390-00024,승지공원
41390-00027,옥구공원
41390-00028,배곧생명
41390-00029,두드림
41390-00038,별공원
41390-00039,꿈동산공원
41390-00040,무지개공원
41390-00050,오이도공원
41390-00056,생금공원
41390-00059,내곡공원
41390-00061,석곡공원
41390-00062,거모공원
41390-00063,태봉공원
41390-00064,도일공원
41390-00074,관곡공원
41390-00077,하상공원
41390-00078,새재공원
41390-00081,장곡공원
41390-00095,새늘공원
41390-00097,정왕동 체육3공원
41390-00099,정왕동 체육5공원
41390-00100,다니공원
41390-00102,힘찬공원
41390-00106,신천근린공원
41550-00058,죽산3호공원
41550-00061,삼죽1호공원
41550-00066,안성맞춤가족공원(17호근린공원)
41550-00068,삼죽1호근린공원
41550-00078,숭인공원
41550-00081,도례공원
41550-00069,삼죽2호근린공원
41550-00006,진사소공원
41550-00092,퇴미1 공원(29호공원)
41550-00093,퇴미2 공원(30호공원)
41550-00099,낙원역사공원
41550-00100,문화공원2
41550-00031,35호공원
41550-00033,38호공원
41550-00020,계륵공원
41550-00079,금산공원(솔밭공원)
41550-00040,9호어린이공원
41550-00003,삼죽1호 소공원
41550-00012,원곡산단 소공원
41550-00014,봉남공원
41550-00021,22호공원
41550-00030,34호공원
41550-00032,36호공원
41550-00036,1호어린이공원
41550-00051,상가천1공원
27260-00025,지산공원
27260-00026,현대공원
27260-00027,거성공원
27260-00028,국화공원
27260-00029,진달래공원
27260-00030,만촌공원
27260-00031,봉선화공원
27260-00032,민들레공원
27260-00033,말뫼공원
27260-00034,보성공원
27260-00035,용지공원
27260-00002,새마을공원
27260-00003,범어재공원
27260-00004,호돌이공원
27260-00005,계림공원
27260-00006,샛별공원
27260-00007,청구공원
27260-00008,동원공원
27260-00009,광명공원
27260-00010,무열공원
27260-00011,동신공원
27260-00012,수목공원
27260-00013,황금공원
27260-00036,마산공원
27260-00037,배수지공원
27260-00038,중앙공원
27260-00039,관계지공원
27260-00040,범물공원
27260-00041,삼주공원
27260-00043,청솔공원
27260-00044,신기공원
27260-00045,동서공원
27260-00046,두성공원
27260-00047,두리공원
27260-00048,삼각공원
27260-00049,나래공원
27260-00050,누리공원
27260-00051,고산공원
27260-00052,세각단공원
27260-00053,무학공원
27260-00054,지봉공원
27260-00055,수동공원
27260-00056,에덴공원
27260-00057,청산공원
27260-00058,화성공원
27260-00059,달무리공원
27260-00060,미진공원
27260-00061,전원공원
27260-00062,사월 1공원
27260-00063,상동 1공원
27260-00064,상동 2공원
27260-00065,들안길꿈나무공원
27260-00066,백합공원
27260-00067,상동공원
27260-00068,보람공원
27260-00069,맑음공원
27260-00042,천마공원
27260-00014,대경공원
27260-00015,무궁화공원
27260-00016,상록수공원
27260-00017,중동공원
27260-00018,희망공원
27260-00019,청소년공원
27260-00020,들안길공원
27260-00021,덕화공원
27260-00022,샛터공원
27260-00023,아랫마을공원
27260-00024,끝동공원
45720-00001,월랑공원
45720-00003,자주공원
45720-00004,용담체육공원
45720-00005,용담가족테마공원
45720-00006,마이돈농촌테마공원
45720-00007,마이봉미로공원
11560-00024,영일어린이공원
11560-00036,이음소공원
11560-00014,고추말어린이공원
11560-00035,새말소공원
11560-00034,도리미 소공원
11560-00033,파밀리에 소공원
11560-00032,당산역 소공원
11560-00031,신풍역 소공원
11560-00030,꽃담 소공원
11560-00029,인스빌2 소공원
11560-00028,인스빌1 소공원
11560-00027,문래소공원
11560-00026,꿈에그린어린이공원
11560-00025,중마루근린공원
11560-00008,평화어린이공원
11560-00007,중앙어린이공원
11560-00006,메낙골근린공원
11560-00005,당산근린공원
11560-00004,신길근린공원
11560-00003,문래근린공원
11560-00002,자매근린공원
11560-00001,신일어린이공원
11560-00037,당산나루소공원
11560-00023,양평어린이공원
11560-00022,영등포근린공원
11560-00021,양화폭포근린공원
11560-00020,신우어린이공원
11560-00019,두암어린이공원
11560-00018,동심어린이공원
11560-00017,원지어린이공원
11560-00016,서강어린이공원
11560-00015,대림어린이공원
11560-00013,다사랑어린이공원
11560-00012,산성어린이공원
11560-00011,양남어린이공원
11560-00010,강마을어린이공원
11560-00009,자유어린이공원
46790-00001,남산공원
46790-00002,동구리호수공원
46790-00003,광덕제1어린이공원
46790-00004,광덕제2어린이공원
46790-00005,광덕제3어린이공원
46790-00006,신기제1어린이공원
46790-00007,신기제2어린이공원
46790-00008,연양체육공원
46790-00009,고인돌공원
26410-00008,금정공원
26410-00010,기찰공원
26410-00022,숲속공원
26410-00023,요산꽃님공원
26410-00025,은빛공원
26410-00026,조리공원
26410-00036,부산묘지공원
42150-00014,7호공원
42150-00015,8호공원
42150-00016,9호공원
42150-00017,10호공원
42150-00018,11호공원
42150-00019,12호공원
42150-00020,13호공원
42150-00021,14호공원
42150-00022,15호공원
42150-00023,16호공원
42150-00024,17호공원
42150-00025,18호공원
42150-00026,19호공원
42150-00027,25호공원
42150-00028,27호공원
42150-00029,32호공원
42150-00030,33호공원
42150-00031,34호공원
42150-00032,35호공원
42150-00033,36호공원
42150-00034,37호공원
42150-00035,38호공원
42150-00036,42호공원
42150-00037,교항6공원
42150-00038,주문2공원
42150-00039,44호공원
42150-00040,45호공원
42150-00041,46호공원
42150-00042,사천진공원
42150-00043,교항7공원
42150-00044,소공원
42150-00045,소공원
42150-00046,소공원
42150-00047,주문진 2 소공원
42150-00048,주문진 3 소공원
42150-00049,주문진 4 소공원
42150-00001,남산공원
42150-00002,교동1공원
42150-00003,교동3공원
42150-00004,교동4공원
42150-00005,유천공원
42150-00006,오솔길공원
42150-00007,대전공원
42150-00008,성덕공원
42150-00009,2호공원
42150-00010,3호공원
42150-00011,4호공원
42150-00012,5호공원
42150-00013,6호공원
42750-00001,북면문곡리공원
42750-00002,영월7호(샛바람어린이공원)
42750-00003,영월10호(누비어린이공원)
42750-00004,영월12호(해찬솔어린이공원)
42750-00005,영월11호(별바리기 어린이공원)
42750-00006,영월13호(여기우리어린이공원)
42750-00007,주천1호(꽃가람어린이공원)
42750-00008,주천2호(너울춤어린이공원)
42750-00009,영월15호(은행나무 어린이공원)
42750-00010,영월16호(가온어린이공원)
42750-00011,상동3호(옥수정 어린이공원)
42750-00012,영월18호(별빛폭포 어린이공원)
42750-00013,영월17호(하송어린이공원)
42750-00014,옹정공원
42750-00015,쌍용공원
42750-00016,주천공원
42750-00017,하송공원
42750-00018,영월공원
42750-00019,덕포공원
42750-00020,상동1공원
42750-00021,동강생태공원
41220-00001,동부
41220-00002,동부그린
41220-00003,평택공단
41220-00004,세교
41220-00005,남산
41220-00006,추팔
41220-00007,농성
41220-00008,역사유적
41220-00009,덕동산(중앙)
41220-00010,원평
41220-00011,현신(용이1호)
41220-00012,이화(용이2호)
41220-00013,용이(용이3호)
41220-00014,평택(삼각산)
41220-00015,안정
41220-00016,사군자
41220-00017,사색
41220-00018,현촌
41220-00019,다솜?
41220-00020,하날
41220-00021,당산
41220-00022,배나무
41220-00023,배다리
41220-00024,모산근린공원(일부조성)
41220-00025,모곡
41220-00026,신장
41220-00027,반지산
41220-00028,석정
41220-00029,장당택지
41220-00030,송탄
41220-00031,진위산업단지
41220-00032,칠괴
41220-00033,충의
41220-00034,서정
41220-00035,부락산(이충분수)
41220-00036,장안하늘채
41220-00037,고덕산업단지1
41220-00038,고덕산업단지2
41220-00039,신당
41220-00040,여술
41220-00041,도곡
41220-00042,번제
41220-00043,학현
41220-00044,안중
41220-00045,현화
41220-00046,비둘기
41220-00047,개나리
41220-00048,현곡
41220-00049,오성
41220-00050,가사
41220-00051,테미
41220-00052,새터
41220-00053,수촌
41220-00054,살박
41220-00055,뚝넘어
41220-00056,만호
41220-00057,현촌한마음공원
41220-00058,물빛수변공원1
41220-00059,물빛수변공원2
41220-00060,소리 수변공원
41220-00061,물빛수변공원3
41220-00062,물빛수변공원4
41220-00063,너울수변공원
41220-00064,노와이주단지
41220-00065,으뜸체육공원
41220-00066,소리수변공원
41220-00067,부락산 문화공원
41220-00068,소풍정원
41220-00069,신대쌈지공원
41220-00070,성동
41220-00071,어인남
41220-00072,JC
41220-00073,비전
41220-00074,통미
41220-00075,평일
41220-00076,낙촌
41220-00077,이곡
41220-00078,은행
41220-00079,정원
41220-00080,무지개
41220-00081,문화촌
41220-00082,소사벌
41220-00083,새한
41220-00084,동일
41220-00085,원앙
41220-00086,청솔
41220-00087,향촌
41220-00088,상가
41220-00089,개나리
41220-00090,통복
41220-00091,가족
41220-00092,늘푸른
41220-00093,화경
41220-00094,한방
41220-00095,팽송
41220-00096,송화
41220-00097,삼각
41220-00098,추팔
41220-00099,합정새롬
41220-00100,합정푸른
41220-00101,합정
41220-00102,신작
41220-00103,조개터1호
41220-00104,조개터2호
41220-00105,새터말
41220-00106,장미
41220-00107,늘푸른안정
41220-00108,소사(소사1차)
41220-00109,롯데인벤스(평택)
41220-00110,용이 1호
41220-00111,용이 2호
41220-00112,용이 3호
41220-00113,용이 4호
41220-00114,배미
41220-00115,농성
41220-00116,팽성
41220-00117,노와이주단지
41220-00118,경남아너스빌
41220-00119,상서재(75호)
41220-00120,하서재(76호)
41220-00121,샛별(78호)
41220-00122,미로(79호)
41220-00123,놀이(80호)
41220-00124,바다
41220-00125,어울림
41220-00126,숲속
41220-00127,나비
41220-00128,꿈동산
41220-00129,모험
41220-00130,우주별
41220-00131,꽃잎소리
41220-00132,물장구
41220-00133,뒷동산
41220-00134,물결
41220-00135,하늘
41220-00136,그린
41220-00137,정글
41220-00138,안정
41220-00139,신대
41220-00140,서정
41220-00141,지장
41220-00142,풍진
41220-00143,옹기
41220-00144,점촌
41220-00145,신서
41220-00146,충혼
41220-00147,동구재
41220-00148,원이충
41220-00149,송천
41220-00150,좌동
41220-00151,지산
41220-00152,오좌
41220-00153,송북
41220-00154,건지
41220-00155,이충
41220-00156,장당 1호
41220-00157,장당 2호
41220-00158,장당 3호
41220-00159,광말
41220-00160,돌우물
41220-00161,동령
41220-00162,유통단지
41220-00163,포스코더샵
41220-00164,칠원
41220-00165,햇살
41220-00166,둥실봉
41220-00167,두릉이주단지
41220-00168,지산이주단지
41220-00169,하늘채
41220-00170,좌울
41220-00171,원정
41220-00172,도곡
41220-00173,도화동
41220-00174,서당제
41220-00175,장터골
41220-00176,긴둥골
41220-00177,방죽골
41220-00178,대장골
41220-00179,해모
41220-00180,백로
41220-00181,배당지
41220-00182,길마
41220-00183,둔터
41220-00184,자미
41220-00185,비파
41220-00186,작골
41220-00187,돌패기
41220-00188,남산이주단지1호
41220-00189,남산이주단지2호
41220-00190,노와이주단지1호
41220-00191,노와이주단지2호
41220-00192,송화소공원
41220-00193,등꽃향기정원
41220-00194,비전롯데캐슬 소공원
41220-00195,고잔 소공원
41220-00196,화촌1 소공원
41220-00197,두정1리 소공원
41220-00198,원정리 소공원
41220-00199,추팔리 소공원
41220-00200,화촌2 소공원
41220-00201,장등 1리
41220-00202,장등 2리
41220-00203,금암 2리
41220-00204,고덕문화마을 1
41220-00205,고덕산업단지 소공원1
41220-00206,고덕산업단지 소공원2
41220-00207,고덕산업단지 소공원3
41220-00208,길음 2리
41220-00209,길음 3리
41220-00210,대반 5리
41220-00211,지영희
41220-00212,인광
41220-00213,송담
41220-00214,안송
41220-00215,송담8길
41220-00216,송담4로
41220-00217,송담9길
41220-00218,송담6길
41220-00219,송담5길
46840-00002,망운동공원
46840-00001,일로공원
46840-00010,오룡공원(근린10)
46840-00028,어린이공원
46840-00018,사색공원
46840-00026,어린이공원
46840-00008,남악공원(근린8)
46840-00012,해뜨는언덕공원(근린12)
46840-00011,망향공원(근린11)
46840-00005,불무공원
46840-00017,갯벌생태공원
46840-00027,어린이공원
46840-00023,어린이공원
46840-00006,교촌공원
46840-00037,운남공원
46840-00009,중앙공원(근린9)
46840-00007,남악수변공원(근린7)
46840-00019,오룡수변공원
46840-00015,어린이공원8
46840-00016,어린이공원9
46840-00025,어린이공원
46840-00021,어린이공원
46840-00020,어린이공원
46840-00013,어린이공원6
46840-00014,어린이공원7
46840-00024,어린이공원
46840-00022,어린이공원
46840-00029,공원
46840-00030,공원
46840-00031,공원
46840-00033,공원
46840-00034,공원
46840-00035,공원
46840-00038,주룡나루
46840-00039,석정포
41150-00022,색동어린이공원
41150-00023,동심어린이공원
41150-00024,어수정어린이공원
41150-00025,토끼어린이공원
41150-00026,벌말어린이공원
41150-00027,백합어린이공원
41150-00028,느티나무어린이공원
41150-00013,다리목근린공원
41150-00014,해오름근린공원
41150-00016,옥수당근린공원
41150-00017,경의어린이공원
41150-00018,신곡어린이공원
41150-00020,꽃동네어린이공원
41150-00021,하금오어린이공원
41150-00031,호동어린이공원
41150-00085,송산사지근린공원
41150-00086,초록누리근린공원
41150-00087,푸른물빛근린공원
41150-00088,민락문화근린공원
41150-00089,푸른마당근린공원
41150-00090,광역행정타운 문화공원
41150-00091,송산1호수변공원
41150-00093,한터어린이공원
41150-00094,너나들이어린이공원
41150-00095,민락교통어린이공원
41150-00097,늘품어린이공원
41150-00098,잎새어린이공원
41150-00099,오색어린이공원
41150-00101,넘실어린이공원
41150-00030,공룡어린이공원
41150-00102,솔향어린이공원
41150-00104,광역행정타운1호소공원
41150-00105,광역행정타운1호소공원
41150-00058,민락문화공원
41150-00059,평화어린이공원
41150-00060,점말문화공원
41150-00061,승지문화공원
41150-00062,오동어린이공원
41150-00063,장미어린이공원
41150-00064,무지개문화공원
41150-00065,어룡문화공원
41150-00067,사계어린이공원
41150-00057,청룡어린이공원
41150-00068,부용문화공원
41150-00070,열린문화공원
41150-00071,상록어린이공원
41150-00072,샛별문화공원
41150-00073,효자어린이공원
41150-00074,상금오어린이공원
41150-00075,방아어린이공원
41150-00076,수락어린이공원
41150-00077,문화어린이공원
41150-00078,무궁화소공원
41150-00079,금오소공원
41150-00080,안말2지구1소공원
41150-00082,중앙문화공원
41150-00083,민락2수변공원
41150-00084,하늘능선근린공원
41150-00092,활기체육공원
41150-00096,초록어린이공원
41150-00103,송산지구1호소공원
41150-00056,하늘빛어린이공원
41150-00066,중보뜰어린이공원
41150-00081,안말2지구2소공원
41150-00069,새말소공원
41150-00043,우정어린이공원
41150-00047,꿈나무문화공원
41150-00051,바랑골어린이공원
41150-00055,바리소리어린이공원
41150-00100,물향기어린이공원
41150-00010,열린맘근린공원
41150-00011,청사초롱근린공원
41150-00012,곤제근린공원
41150-00009,상록근린공원
41150-00032,장암어린이공원
41150-00033,마골어린이공원
41150-00034,공고개어린이공원
41150-00035,탑돌어린이공원
41150-00036,금빛어린이공원
41150-00037,장수원어린이공원
41150-00038,중랑천어린이공원
41150-00039,의서어린이공원
41150-00040,만남문화공원
41150-00041,달님문화공원
41150-00042,선행문화공원
41150-00044,홍익문화공원
41150-00045,문예문화공원
41150-00046,소망어린이공원
41150-00048,한길문화공원
41150-00049,범골어린이공원
41150-00050,동오리어린이공원
41150-00052,행복어린이공원
41150-00053,꿈문화공원
41150-00054,능골문화공원
41150-00001,직동근린공원
41150-00002,추동근린공원
41150-00003,중랑천근린공원
41150-00004,백석천근린공원
41150-00005,장암발곡근린공원
41150-00006,오목문화근린공원
41150-00007,용현근린공원
41150-00008,천보근린공원
41150-00029,새싹어린이공원
41150-00019,희망어린이공원
41150-00015,군마근린공원
41150-00106,귀락문화공원
41150-00107,역전근린공원
41250-00001,소공원 41호
41250-00002,행단공원
41250-00003,소공원
41250-00004,동두공원
41250-00005,사동공원
41250-00006,지행3공원
41250-00007,상패1공원
41250-00008,상패2공원
41250-00009,광암1공원
41250-00010,창말공원
41250-00011,생연지구 1호
41250-00012,생연지구 2호
41250-00013,생연지구 3호
41250-00014,생연지구 4호
41250-00015,송내지구 1호
41250-00016,송내지구 2호
41250-00017,송내지구 3호
41250-00018,송내지구 4호
41250-00019,송내지구 5호
41250-00020,송내지구 6호
41250-00021,지행1어린이공원
41250-00022,내행2공원
41250-00023,내행3공원
41250-00024,지행2공원
41250-00025,어린이공원33
41250-00026,어린이공원34
41250-00027,어린이공원35
41250-00028,어린이공원36
41250-00029,원터공원
41250-00030,생연1근린공원
41250-00031,생연2근린공원
41250-00032,송내1근린공원
41250-00033,송내2근린공원
41250-00034,상패공원
41250-00035,중앙공원
41250-00036,생연공원
41250-00037,송내공원
41250-00038,공원37
41250-00039,공원38
41250-00040,캠프님블 수변공원
41250-00041,소요산 야구공원
41250-00042,소요산 도시자연공원
27230-00001,침산공원
27230-00002,연암공원
27230-00003,대불공원
27230-00004,태전공원
27230-00005,관음공원
27230-00006,구암공원
27230-00007,신기공원
27230-00008,함지공원
27230-00009,동천공원
27230-00010,서변공원
27230-00011,동변공원
27230-00012,매천공원
27230-00013,내곡공원
27230-00014,한강공원
27230-00015,금호공원
27230-00016,역후공원
27230-00017,팔달공원
27230-00018,무궁화공원
27230-00019,해바라기공원
27230-00020,무지개공원
27230-00021,개나리공원
27230-00022,장미공원
27230-00023,들샘공원
27230-00024,영진공원
27230-00025,부엉이공원
27230-00026,대현공원
27230-00027,구암공원
27230-00028,참물샘공원
27230-00029,들말공원
27230-00030,운암공원
27230-00031,진달래공원
27230-00032,해당화공원
27230-00033,다람쥐공원
27230-00034,말산공원
27230-00035,신락공원
27230-00036,경로공원
27230-00037,대천공원
27230-00038,가산공원
27230-00039,새마을공원
27230-00040,샛별공원
27230-00041,금정공원
27230-00042,송암공원
27230-00043,읍내공원
27230-00044,들꽃공원
27230-00045,미소공원
27230-00046,둥근달공원
27230-00047,미리내공원
27230-00048,마당공원
27230-00049,까치공원
